name,URL,parkCode,description,latitude,longitude,designation,physical address
Knife River Indian Villages National Historic Site,https://www.nps.gov/knri/index.htm,knri,"Earthlodge people hunted bison and other game, but were in essence farmers living in villages along the Missouri and its tributaries. The site was a major Native American trade center for hundreds of years prior to becoming an important market place for fur traders after 1750.",47.3540219,-101.3860533,National Historic Site,"564 County Road 37

Stanton, ND 58571"
Kobuk Valley National Park,https://www.nps.gov/kova/index.htm,kova,"Caribou, sand dunes, the Kobuk River, Onion Portage - just some of the facets of Kobuk Valley National Park. Half a million caribou migrate through, their tracks crisscrossing sculpted dunes. The Kobuk River is an ancient and current path for people and wildlife. For 9000 years, people came to Onion Portage to harvest caribou as they swam the river. Even today, that rich tradition continues.",67.35631336,-159.2002293,National Park,"171 3rd Ave

Kotzebue, AK 99752"
Korean War Veterans Memorial,https://www.nps.gov/kowa/index.htm,kowa,Our nation honors her sons and daughters who answered the call to defend a country they never knew and a people they never met.,38.88784226,-77.04773857,,"10 Daniel French Dr, SW

Washington, DC 20002"
LBJ Memorial Grove on the Potomac,https://www.nps.gov/lyba/index.htm,lyba,"From this distance the seat of national power appears pristine across the river, so President Johnson came here often when he needed to escape from the stresses of building a Great Society. After he died, his wife chose this place for his memorial. A landscape of serpentine paths, white pines, a granite monolith, and an open meadow honors his legacy of social justice and conservation legislation.",38.87858036,-77.05145832,,"Lyndon Baines Johnson Memorial Grove

Washington, DC "
Lake Clark National Park & Preserve,https://www.nps.gov/lacl/index.htm,lacl,"Lake Clark National Park and Preserve is a land of stunning beauty. Volcanoes steam, salmon run, bears forage, and craggy mountains reflect in shimmering turquoise lakes. Here, too, local people and culture still depend on the land and water. Venture into the park to become part of the wilderness.",60.57405857,-153.55535,National Park & Preserve,"1 Park Place

Port Alsworth, AK 99653"
Lake Mead National Recreation Area,https://www.nps.gov/lake/index.htm,lake,"Swim, boat, hike, cycle, camp and fish at America’s first and largest national recreation area. With striking landscapes and brilliant blue waters, this year-round playground spreads across 1.5 million acres of mountains, canyons, valleys and two vast lakes. See the Hoover Dam from the waters of Lake Mead or Lake Mohave, or find solitude in one of the park's nine wilderness areas.",35.96622528,-114.3469067,National Recreation Area,"Lake Mead Visitor Center
10 Lakeshore Rd
Boulder City, NV 89005"
Lake Meredith National Recreation Area,https://www.nps.gov/lamr/index.htm,lamr,"Within the dry, windswept plains of the Texas Panhandle lies a hidden oasis, a welcoming haven where wildlife and people find relief from the dry grasslands above. Through this plain, the Canadian River has cut dramatic 200-foot canyons, or breaks, where humans lived 13,000 years ago. Lake Meredith occupies these hidden coves and is a haven for migratory birds and other wildlife.",35.61926203,-101.6820066,National Recreation Area,"419 E. Broadway

Fritch, TX 79036"
Lake Roosevelt National Recreation Area,https://www.nps.gov/laro/index.htm,laro,"The ancient geologic landscape of the upper Columbia River cradles Lake Roosevelt in walls of stone carved by massive ice age floods. Come explore the shorelines and learn the stories of American Indians, traders and trappers, settlers and dam builders who called this place home. Swim, boat, hike, camp, and fish at this hidden gem in Northeast Washington, created by the Grand Coulee Dam.",48.17148735,-118.3513713,National Recreation Area,"Lake Roosevelt National Recreation Area
1008 Crest Drive
Coulee Dam, WA 99116"
Lassen Volcanic National Park,https://www.nps.gov/lavo/index.htm,lavo,"Lassen Volcanic National Park is home to steaming fumaroles, meadows freckled with wildflowers, clear mountain lakes, and numerous volcanoes. Jagged peaks tell the story of its eruptive past while hot water continues to shape the land.",40.49354575,-121.4075993,National Park,"38050 Highway 36 East
Park Headquarters
Mineral, CA 96063"
Lava Beds National Monument,https://www.nps.gov/labe/index.htm,labe,"Lava Beds National Monument is a land of turmoil, both geological and historical. Over the last half-million years, volcanic eruptions on the Medicine Lake shield volcano have created a rugged landscape dotted with diverse volcanic features. More than 800 caves, Native American rock art sites, historic battlefields and campsites, and a high desert wilderness experience await you!",41.75915823,-121.5172189,National Monument,"1 Indian Well HQ

Tulelake, CA 96134"
Lewis & Clark National Historic Trail,https://www.nps.gov/lecl/index.htm,lecl,"The Lewis and Clark National Historic Trail is approximately 4,900 miles long, extending from Pittsburgh, Pennsylvania, to the mouth of the Columbia River, near present day Astoria, Oregon. It follows the historic outbound and inbound routes of the Lewis and Clark Expedition as well as the preparatory section from Pittsburgh, Pennsylvania to Wood River, Illinois.",41.2646141052246,-95.9245147705078,National Historic Trail,"601 Riverfront Dr.

Omaha, NE 68102"
Lewis and Clark National Historical Park,https://www.nps.gov/lewi/index.htm,lewi,Explore the timeless rainforests and majestic coastal vistas. Discover the rich heritage of the native people. Unfold the dramatic stories of America's most famous explorers. The park encompasses sites along the Columbia River and the Pacific Coast. Follow in the footsteps of the explorers and have an adventure in history.,46.21178735,-123.9638583,National Historical Park,"Lewis and Clark National Historical Park
92343 Fort Clatsop Road
Astoria, OR 97103"
Lincoln Boyhood National Memorial,https://www.nps.gov/libo/index.htm,libo,Abraham Lincoln grew from youth to manhood on this southern Indiana soil. Many character and moral traits of one of the world's most respected leaders was formed and nurtured here. Explore Lincoln's boyhood and learn about the boy who would one day become the leader of our nation.,38.11817004,-86.99656861,National Memorial,"3027 East South Street

Lincoln City, IN 47552"
Lincoln Home National Historic Site,https://www.nps.gov/liho/index.htm,liho,"Abraham Lincoln believed in the ideal that everyone in America should have the opportunity to improve their economic and social condition. Lincoln’s life was the embodiment of that idea. We know him as the sixteenth president but he was also a spouse, parent, and neighbor who experienced the same hopes, dreams, and challenges of life that are still experienced by many people today.",39.79715642,-89.64513397,National Historic Site,"426 S. 7th Street

Springfield, IL 62701"
Lincoln Memorial,https://www.nps.gov/linc/index.htm,linc,"""In this temple, as in the hearts of the people for whom he saved the Union, the memory of Abraham Lincoln is enshrined forever."" Beneath these words, the 16th president of the United States sits immortalized in marble as an enduring symbol of unity, strength, and wisdom.",38.88927229,-77.05017778,,"2 Lincoln Memorial Circle, NW

Washington, DC 20002"
Little Bighorn Battlefield National Monument,https://www.nps.gov/libi/index.htm,libi,"This area memorializes the US Army's 7th Cavalry and the Lakotas and Cheyennes in one of the Indian's last armed efforts to preserve their way of life. Here on June 25 and 26 of 1876, 263 soldiers, including Lt. Col. George A. Custer and attached personnel of the US Army, died fighting several thousand Lakota and Cheyenne warriors.",45.55633048,-107.4183614,National Monument,"756 Battlefield Tour Road

Crow Agency, MT 59022"
Little River Canyon National Preserve,https://www.nps.gov/liri/index.htm,liri,"Little River is unique because it flows for most of its length atop Lookout Mountain in northeast Alabama. Forested uplands, waterfalls, canyon rims and bluffs, pools, boulders, and sandstone cliffs offer settings for a variety of recreational activities. Natural resources and cultural heritage come together to tell the story of the Preserve, a special place in the Southern Appalachians.",34.41461863,-85.61734327,National Preserve,"432 Little River Trail NE

Fort Payne, AL 35967"
Little Rock Central High School National Historic Site,https://www.nps.gov/chsc/index.htm,chsc,"In 1957, Little Rock Central High School was the epicenter of confrontation and a catalyst for change as the fundamental test for the United States to enforce African American civil rights following Brown v. Board of Education. Learn how the sacrifice and struggle endured by the Little Rock Nine have provided opportunities and opened doors for those seeking equality and education around the world.",34.7369465,-92.29987899,National Historic Site,"Little Rock Central High School NHS
2120 W. Daisy L. Gatson Bates Drive
Little Rock, AR 72202-5212"
Longfellow House Washington's Headquarters National Historic Site,https://www.nps.gov/long/index.htm,long,"Longfellow House-Washington's Headquarters National Historic Site preserves the home of Henry W. Longfellow, one of the world’s foremost 19th century poets. The house also served as headquarters for General George Washington during the Siege of Boston, July 1775 - April 1776. In addition to its rich history, the site offers unique opportunities to explore 19th century literature and arts.",42.37698854,-71.12636956,National Historic Site,"105 Brattle Street

Cambridge, MA 02138"
Lowell National Historical Park,https://www.nps.gov/lowe/index.htm,lowe,"Discover the Continuing Revolution. Lowell’s water-powered textile mills catapulted the nation – including immigrant families and early female factory workers – into an uncertain new industrial era. Nearly 200 years later, the changes that began here still reverberate in our shifting global economy. Explore Lowell, a living monument to the dynamic human story of the Industrial Revolution.",42.6455371,-71.31588673,National Historical Park,"246 Market Street

Lowell, MA 01852"
Lower Delaware National Wild and Scenic River,https://www.nps.gov/lode/index.htm,lode,"The largest free-flowing river in the eastern United States, the Delaware River runs past forests, farmlands, and villages, and it also links some of the most densely populated regions in America. In 2000, the National Wild and Scenic River System incorporated key segments of the lower Delaware River to form this unit of the National Park System.",40.4000389,-74.983737,National Wild and Scenic River,"NPS Wild & Scenic Rivers
200 Chestnut Street
Philadelphia, PA 19106"
Lower East Side Tenement Museum National Historic Site,https://www.nps.gov/loea/index.htm,loea,"The heart of the museum is it historic tenements, home to an estimated 7,000 people from over 20 nations between 1863 and 1935. The tenement’s cramped living spaces, the lives of past residents, and the history of the Lower East Side, contribute to its representation of the immigrant experience. Experience this museum through various in person and virtual programming today!",40.7187683,-73.99001245,National Historic Site,"103 Orchard Street

New York, NY 10002"
Lyndon B Johnson National Historical Park,https://www.nps.gov/lyjo/index.htm,lyjo,"---Lyndon Baines Johnson Lyndon B. Johnson National Historical Park tells the story of our 36th President beginning with his ancestors until his final resting place on his beloved LBJ Ranch. This entire ""circle of life"" gives the visitor a unique perspective into one of America's most noteworthy citizens by providing the most complete picture of any American president.",30.2519655,-98.60692433,National Historical Park,"100 Ladybird Lane

Johnson City, TX 78636"
Maggie L Walker National Historic Site,https://www.nps.gov/mawa/index.htm,mawa,"Maggie Lena Walker devoted her life to civil rights advancement, economic empowerment, and educational opportunities for Jim Crow-era African Americans and women. As a bank president, newspaper editor, and fraternal leader, Walker served as an inspiration of pride and progress. Today, Walker’s home is preserved as a tribute to her enduring legacy of vision, courage, and determination.",37.54781499,-77.43746979,National Historic Site,"600 N. 2nd Street

Richmond, VA 23219"
Maine Acadian Culture,https://www.nps.gov/maac/index.htm,maac,"Maine Acadians share beliefs and experiences tying them to a common religion, languages, and history. The St. John River, land, and family are essential to their culture. The National Park Service supports the Maine Acadian Heritage Council, an association of historical societies, cultural clubs, towns, and museums that work together to support Maine Acadian culture in the St. John Valley.",47.25102114,-68.59447532,,"PO Box 88

Madawaska, ME 04756"
Mammoth Cave National Park,https://www.nps.gov/maca/index.htm,maca,"Rolling hills, deep river valleys, and the worlds longest known cave system. Mammoth Cave National Park is home to thousands of years of human history and a rich diversity of plant and animal life, earning it the title of UNESCO World Heritage Site and International Biosphere Reserve.",37.19760458,-86.13090198,National Park,"1 Visitor Center Parkway

Mammoth Cave, KY 42259-0007"
Manassas National Battlefield Park,https://www.nps.gov/mana/index.htm,mana,"On July 21, 1861, two armies clashed for the first time on the fields overlooking Bull Run. Heavy fighting swept away any notion of a quick war. In August 1862, Union and Confederate armies converged for a second time on the plains of Manassas. The Confederates won a solid victory bringing them to the height of their power.",38.81710063,-77.5353468,National Battlefield Park,"6511 Sudley Road

Manassas, VA 20109"
Manhattan Project National Historical Park,https://www.nps.gov/mapr/index.htm,mapr,"This site tells the story about the people, events, science, and engineering that led to the creation of the atomic bomb, which helped end World War II.",35.88096,-106.30214,National Historical Park,"Manhattan Project National Historical Park
c/o NPS Intermountain Regional Office
Lakewood, CO 80228"
Manzanar National Historic Site,https://www.nps.gov/manz/index.htm,manz,"In 1942, the United States government ordered more than 110,000 men, women, and children to leave their homes and detained them in remote, military-style camps. Manzanar War Relocation Center was one of ten camps where the US government incarcerated Japanese immigrants ineligible for citizenship and Japanese American citizens during World War II.",36.72559195,-118.1547177,National Historic Site,"Manzanar National Historic Site

Independence, CA 93526"
Marsh - Billings - Rockefeller National Historical Park,https://www.nps.gov/mabi/index.htm,mabi,"Walk through one of Vermont's most beautiful landscapes, under the shade of sugar maples and 400-year-old hemlocks, across covered bridges and alongside rambling stone walls. This is a landscape of loss, recovery, and conservation. This is a story of stewardship, of people taking care of places - sharing an enduring connection to land and a sense of hope for the future.",43.63348732,-72.53424638,National Historical Park,"Billings Farm & Museum Parking Lot
69 Old River Rd
Woodstock, VT 05091"
"Martin Luther King, Jr. Memorial",https://www.nps.gov/mlkm/index.htm,mlkm,"Located in downtown Washington, DC, the memorial honors Martin Luther King, Jr.'s legacy and the struggle for freedom, equality, and justice. A prominent leader in the modern civil rights movement, Dr. King was a tireless advocate for racial equality, working class, and the oppressed around the world.",38.8862276865,-77.0442195534,,"1850 West Basin Drive SW

Washington, DC 20024"
"Martin Luther King, Jr. National Historical Park",https://www.nps.gov/malu/index.htm,malu,"A young boy grows up in a time of segregation…A dreamer is moved by destiny into leadership of the modern civil rights movement…This was Martin Luther King, Jr. Come hear his story, visit the home of his birth, and where he played as a child. Walk in his footsteps, and hear his voice in the church where he moved hearts and minds. Marvel at how he was an instrument for social change.",33.75618241,-84.37256768,National Historical Park,"450 Auburn Avenue, NE

Atlanta, GA 30312"
Martin Van Buren National Historic Site,https://www.nps.gov/mava/index.htm,mava,"Today, Martin Van Buren is an obscure man, often little more than a footnote. In pre-Civil War America, however, it was impossible not to have an opinion of him. Van Buren was central to the creation of America's political parties, and to the largest crisis of his time, slavery. The above quote is from Davy Crockett, one of many Americans trying to understand the Red Fox of Kinderhook.",42.36819596,-73.70834257,National Historic Site,"Martin Van Buren NHS
1013 Old Post Road
Kinderhook, NY 12106-3605"
Mary McLeod Bethune Council House National Historic Site,https://www.nps.gov/mamc/index.htm,mamc,"Mary McLeod Bethune achieved her greatest recognition at the Washington, DC townhouse that is now this National Historic Site. The Council House was the first headquarters of the National Council of Negro Women (NCNW) and was Bethune’s last home in Washington, DC. From here, Bethune and the NCNW spearheaded strategies and developed programs that advanced the interests of African American women.",38.90819107,-77.03096742,National Historic Site,"1318 Vermont Avenue NW

Washington, DC 20005"
Medgar and Myrlie Evers Home National Monument,https://www.nps.gov/memy/index.htm,memy,"Medgar and Myrlie Evers were partners in the civil rights struggle. The assassination of Medgar Evers in the carport of their home on June 12, 1963, was the first murder of a nationally significant leader of the American Civil Rights Movement, and it became a catalyst for passage of the Civil Rights Act of 1964. Myrlie Evers continued to promote issues of racial equality and social justice.",32.34096274,-90.21264553,National Monument,"2332 Margaret Walker Alexander Drive

Jackson, MS 39213"
Mesa Verde National Park,https://www.nps.gov/meve/index.htm,meve,"This wild landscape of deep canyons and expansive vistas is home to over a thousand species, including several that live nowhere else on earth. For over 700 years, the Ancestral Pueblo people built thriving communities on the mesas and in the cliffs of Mesa Verde. Today, the park protects the rich cultural heritage of 26 tribes and offers visitors a spectacular window into the past.",37.23908345,-108.4624032,National Park,"Mile .7 Headquarters Loop Road

Mesa Verde National Park, CO 81330"
Mill Springs Battlefield National Monument,https://www.nps.gov/misp/index.htm,misp,The Union won a significant victory early in the Civil War at The Battle of Mill Springs. Explore the rolling fields of Kentucky where the battle took place and learn about that state's strategic importance to both sides of the fight.,37.068815860168,-84.7375361304372,National Monument,"Mill Springs Battlefield National Monument
9020 West Highway 80
Nancy, KY 42544"
Minidoka National Historic Site,https://www.nps.gov/miin/index.htm,miin,"The Pearl Harbor attack intensified existing hostility towards Japanese Americans. As wartime hysteria mounted, President Roosevelt signed Executive Order 9066 forcing over 120,000 West Coast persons of Japanese ancestry (Nikkei) to leave their homes, jobs, and lives behind, forcing them into one of ten prison camps spread across the nation because of their ethnicity. This is Minidoka's story.",42.80586068,-114.4449868,National Historic Site,"1428 Hunt Road

Jerome, ID 83338"
Minute Man National Historical Park,https://www.nps.gov/mima/index.htm,mima,"At Minute Man National Historical Park the opening battle of the Revolution is brought to life as visitors explore the battlefields and structures associated with April 19, 1775, and witness the American revolutionary spirit through the writings of the Concord authors.",42.4562778,-71.30738884,National Historical Park,"Minute Man Visitor Center
250 North Great Road
Lincoln, MA 01773"
Minuteman Missile National Historic Site,https://www.nps.gov/mimi/index.htm,mimi,"During the Cold War, a vast arsenal of nuclear missiles were placed in the Great Plains. Hidden in plain sight, for thirty years 1,000 missiles were kept on constant alert; hundreds remain today. The Minuteman Missile remains an iconic weapon in the American nuclear arsenal. It holds the power to destroy civilization, but is meant as a nuclear deterrent to maintain peace and prevent war.",43.89558013,-102.0272131,National Historic Site,"24545 Cottonwood Road

Philip, SD 57567"
Mississippi National River and Recreation Area,https://www.nps.gov/miss/index.htm,miss,"In the middle of a bustling urban setting, this 72 mile river park offers quiet stretches for fishing, boating and canoeing, birdwatching, bicycling, and hiking. And there are plenty of visitor centers and trails that highlight the fascinating human history of the Mississippi River. This a great place to start your exploration of this important river.",44.942487,-93.098712,National River and Recreation Area,"120 W. Kellogg Blvd.

Saint Paul, MN 55101"
Missouri National Recreational River,https://www.nps.gov/mnrr/index.htm,mnrr,"Imagine a 100-mile stretch of North America's longest river, a vestige of the untamed American West. The Missouri National Recreational River is where imagination meets reality. Two free flowing stretches of the Missouri make up the National Park. Relive the past by making an exploration of the wild, untamed and mighty river that continues to flow as nature intended.",42.7882189,-97.59077822,National Recreational River,"508 East 2nd Street

Yankton, SD 57078"
Mojave National Preserve,https://www.nps.gov/moja/index.htm,moja,"Singing sand dunes, cinder cone volcanoes, a large Joshua tree forest, and carpets of spring wildflowers are all found within this 1.6-million-acre park. A visit to its canyons, mountains, and mesas will reveal long-abandoned mines, homesteads, and rock-walled military outposts. Located between Los Angeles and Las Vegas, Mojave provides serenity and solitude from major metropolitan areas.",35.12485941,-115.5168258,National Preserve,"90942 Kelso Cima Road

Kelso, CA 92309"
Monocacy National Battlefield,https://www.nps.gov/mono/index.htm,mono,"During the summer of 1864, the Confederacy carried out a bold plan to turn the tide of the Civil War in their favor. They planned to capture Washington, DC and influence the election of 1864. On July 9, however, Federal soldiers outnumbered three to one, fought gallantly along the banks of the Monocacy River in an effort to buy time for Union reinforcement to arrive in Washington, DC.",39.36084236,-77.39637677,National Battlefield,"5201 Urbana Pike

Frederick, MD 21704"
Montezuma Castle National Monument,https://www.nps.gov/moca/index.htm,moca,"Established December 8, 1906, Montezuma Castle is the third National Monument dedicated to preserving Native American culture. This 20 room high-rise apartment, nestled into a towering limestone cliff, tells a story of ingenuity, survival and ultimately, prosperity in an unforgiving desert landscape.",34.62237771,-111.8147857,National Monument,"2800 Montezuma Castle Road

Camp Verde, AZ 86322"
Moores Creek National Battlefield,https://www.nps.gov/mocr/index.htm,mocr,"In the early morning hours of February 27, 1776, Loyalist forces charged across a partially dismantled Moores Creek Bridge. Beyond the bridge, nearly 1,000 North Carolina Patriots waited quietly with cannons and muskets poised to fire. This battle marked the last broadsword charge by Scottish Highlanders and the first significant victory for the Patriots in the American Revolution.",34.45820776,-78.11031134,National Battlefield,"40 Patriots Hall Dr.

Currie, NC 28435"
Mormon Pioneer National Historic Trail,https://www.nps.gov/mopi/index.htm,mopi,"Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847.",41.2650321741355,-101.84083755965,National Historic Trail,"National Trails Office Regions 6|7|8
Mormon Pioneer National Historic Trail
Santa Fe, NM 87505"
Morristown National Historical Park,https://www.nps.gov/morr/index.htm,morr,"Morristown National Historical Park commemorates the sites of General Washington and the Continental army’s winter encampment of December 1779 to June 1780, where they survived through what would be the coldest winter on record. The park also maintains a museum & library collection related to the encampments & George Washington, as well as items relating to pre- and post-Revolutionary America.",40.7650755,-74.53455122,National Historical Park,"30 Washington Place

Morristown, NJ 07052"
Mount Rainier National Park,https://www.nps.gov/mora/index.htm,mora,"Ascending to 14,410 feet above sea level, Mount Rainier stands as an icon in the Washington landscape. An active volcano, Mount Rainier is the most glaciated peak in the contiguous U.S.A., spawning five major rivers. Subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainier’s lower slopes. Wildlife abounds in the park’s ecosystems. A lifetime of discovery awaits.",46.86075416,-121.7043885,National Park,"55210 238th Avenue East

Ashford, WA 98304"
Mount Rushmore National Memorial,https://www.nps.gov/moru/index.htm,moru,"Majestic figures of George Washington, Thomas Jefferson, Theodore Roosevelt and Abraham Lincoln, surrounded by the beauty of the Black Hills of South Dakota, tell the story of the birth, growth, development and preservation of this country. From the history of the first inhabitants to the diversity of America today, Mount Rushmore brings visitors face to face with the rich heritage we all share.",43.88037021,-103.4525186,National Memorial,"13000 Highway 244
Building 31, Suite 1
Keystone, SD 57751"
Muir Woods National Monument,https://www.nps.gov/muwo/index.htm,muwo,"Walk among old growth coast redwoods, cooling their roots in the fresh water of Redwood Creek and lifting their crowns to reach the sun and fog. Federally protected as a National Monument since 1908, this primeval forest is both refuge and laboratory, revealing our relationship with the living landscape. What will you discover in Muir Woods?",37.89658027,-122.5808047,National Monument,"Muir Woods National Monument
1 Muir Woods Rd
Mill Valley, CA 94941"
Natchez National Historical Park,https://www.nps.gov/natc/index.htm,natc,"Discover the history of all the peoples of Natchez, Mississippi, from European settlement, African enslavement, the American cotton economy, to the Civil Rights struggle on the lower Mississippi River.",31.54697621,-91.39040665,National Historical Park,"640 South Canal Street

Natchez, MS 39120"
Natchez Trace National Scenic Trail,https://www.nps.gov/natt/index.htm,natt,"The Natchez Trace National Scenic Trail consists of five sections of hiking trail running roughly parallel to the 444-mile long Natchez Trace Parkway scenic motor road. The foot trails total more than 60 miles, and offer opportunities to explore wetlands, swamps, hardwood forest, rock outcroppings, overlooks, and the history of the area.",34.3302903330188,-88.7100104093552,National Scenic Trail,"2680 Natchez Trace Parkway

Tupelo, MS 38804"
Natchez Trace Parkway,https://www.nps.gov/natr/index.htm,natr,"The Natchez Trace Parkway is a 444-mile recreational road and scenic drive through three states. It roughly follows the ""Old Natchez Trace"" a historic travel corridor used by American Indians, ""Kaintucks,"" European settlers, slave traders, soldiers, and future presidents. Today, people can enjoy not only a scenic drive but also hiking, biking, horseback riding, and camping along the parkway.",33.78002293,-89.03092439,Parkway,"2680 Natchez Trace Parkway

Tupelo, MS 38804"
National Capital Parks-East,https://www.nps.gov/nace/index.htm,nace,"Welcome to National Capital Parks-East. We invite you to journey to parks Beyond the capitol of Washington, D.C. National Capital Parks-East is 13 park sites, parkways and statuary covering more than 8,000 acres of historic, cultural, and recreational parklands from Capitol Hill to the nearby Maryland suburbs",38.8659,-76.994,,"1900 Anacostia Drive SE

Washington, DC 20020"
National Mall and Memorial Parks,https://www.nps.gov/nama/index.htm,nama,"This is where the nation comes to remember and where history is made. As “America’s Front Yard,” the National Mall and Memorial Parks is home to many of our country’s most iconic memorials telling the story of people and events that shaped us as a nation. Each year, millions of people come to recreate, commemorate presidential legacies, honor our veterans, and make their voices heard.",38.8899,-77.026,,"900 Ohio Drive SW

Washington, DC 20024"
National Park of American Samoa,https://www.nps.gov/npsa/index.htm,npsa,"The National Park of American Samoa welcomes you into the heart of the South Pacific, to a world of sights, sounds, and experiences that you will find in no other national park in the United States. Enjoy this unique national park and the welcoming people of American Samoa. We are here to protect its rich culture and natural resources. Come explore them with us!",-14.22865935,-169.8503777,,"National Park of American Samoa
MHJ Building, 2nd Floor
Pago Pago, AS 96799"
National Parks of New York Harbor,https://www.nps.gov/npnh/index.htm,npnh,"These 11 sites preserve more than 400 years of American history! We invite you to explore the past and investigate its relevance in our lives today. From the birth of American democracy to the evolution of commerce, harbor defense, ecology and immigration, the breadth of themes commemorated through the National Parks of New York Harbor reflect the richness and diversity of our heritage.",40.6632,-74.0451,,"26 Wall Street

New York, NY 10007"
Natural Bridges National Monument,https://www.nps.gov/nabr/index.htm,nabr,"Three majestic natural bridges invite you to ponder the power of water in a landscape usually defined by its absence. View them from an overlook, or hit the trails and experience their grandeur from below. Declared a National Monument in 1908, the bridges are named ""Kachina,"" ""Owachomo"" and ""Sipapu"" in honor of the ancestral Puebloans who once made this place their home.",37.6045329,-110.0022436,National Monument,"At the end of UT-275
Approximately 45 minutes' drive west of Blanding, Utah
Lake Powell, UT 84533"
Navajo National Monument,https://www.nps.gov/nava/index.htm,nava,"The Hopi, San Juan Southern Paiute, Zuni, and Navajo are tribes that have inhabited the canyons for centuries. Springs fed into farming land on the canyon floor and homes were built in the natural sandstone alcoves. The cliff dwellings of Betatakin, Keet Seel, and Inscription House were last physically occupied around 1300 AD but the villages have a spiritual presence that can still be felt today.",36.71755643,-110.5504015,National Monument,"End of AZ Highway 564

Shonto, AZ 86054"
New Bedford Whaling National Historical Park,https://www.nps.gov/nebe/index.htm,nebe,"""The town itself is perhaps the dearest place to live in, in all New England..nowhere in all America will you find more patrician-like houses, parks and gardens more opulent, than in New Bedford…all these brave houses and flowery gardens came from the Atlantic, Pacific, and Indian oceans. One and all, they were harpooned and dragged up hither from the bottom of the sea."" H. Melville, ""Moby-Dick""",41.63540552,-70.92322321,National Historical Park,"33 William Street

New Bedford, MA 02740"
New England National Scenic Trail,https://www.nps.gov/neen/index.htm,neen,"From the Sound to the Summits: the New England Trail covers 215 miles from Long Island Sound across long ridges to scenic mountain summits in Connecticut and Massachusetts. The trail offers panoramic vistas and close-ups of New England’s natural and cultural landscape: traprock ridges, historic village centers, farmlands, unfragmented forests, quiet streams, steep river valleys and waterfalls.",42.2915819136851,-72.5242767333984,National Scenic Trail,"New England Trail
c/o Springfield Armory National Historic Site
Springfield, MA 01105"
New Jersey Pinelands National Reserve,https://www.nps.gov/pine/index.htm,pine,"This is truly a special place. It's classified as a United States Biosphere Reserve and in 1978 was established by Congress as the country’s first National Reserve. It includes portions of seven southern New Jersey counties, and encompasses over one-million acres of farms, forests and wetlands. It contains 56 communities, from hamlets to suburbs, with over 700,000 permanent residents.",39.9384,-74.625,National Reserve,"15 Springfield Road

New Lisbon, NJ 08064"
New Orleans Jazz National Historical Park,https://www.nps.gov/jazz/index.htm,jazz,Only in New Orleans could there be a National Park for jazz! Drop by our visitor center temporary location at the Jean Lafitte National Historical Park & Preserve French Quarter Visitor Center at 419 Decatur Street to inquire about musical events around town. In the mood for a world class musical experience?,29.96303129,-90.06749669,National Historical Park,"419 Decatur St

New Orleans, LA 70130"
New River Gorge National Park and Preserve,https://www.nps.gov/neri/index.htm,neri,"A rugged, whitewater river flowing northward through deep canyons, the New River is among the oldest rivers on the continent. The park encompasses over 70,000 acres of land along the New River, is rich in cultural and natural history, and offers an abundance of scenic and recreational opportunities.",37.86878554,-80.99956002,National Park and Preserve,"104 Main Street

Glen Jean, WV 25846"
Nez Perce National Historical Park,https://www.nps.gov/nepe/index.htm,nepe,"Since time immemorial, the valleys, prairies, mountains, and plateaus of the inland northwest have been home to the Nimiipuu (Nez Perce) people. Extremely resilient, they survived the settling of the United States and adapted to a changed world. Nez Perce National Historical Park consists of 38 places important to the history and culture of the Nimiipuu. Explore these places. Learn their stories.",46.07019093,-115.8761258,National Historical Park,"Nez Perce National Historical Park
39063 US Hwy 95
Lapwai, ID 83540-9715"
Nicodemus National Historic Site,https://www.nps.gov/nico/index.htm,nico,"Formerly enslaved African Americans left Kentucky at the end of the of post-Civil War Reconstruction period to experience freedom in the ""Promised Land"" of Kansas. Nicodemus represents the involvement of African Americans in the westward expansion and settlement of the Great Plains. It is the oldest and only remaining Black settlement west of the Mississippi River.",39.39167606,-99.61680329,National Historic Site,"304 Washington Ave.

Nicodemus, KS 67625-3015"
Ninety Six National Historic Site,https://www.nps.gov/nisi/index.htm,nisi,Settlers struggled against the harsh backcountry to survive. Cherokee Indians hunted and fought to keep their land. Two towns and a trading post were formed then abandoned to the elements. And two Revolutionary War battles claimed over 100 lives. Come discover the 18th century history of South Carolina.,34.14273587,-82.01636079,National Historic Site,"Ninety Six National Historic Site
1103 Hwy 248
Ninety Six, SC 29666"
Niobrara National Scenic River,https://www.nps.gov/niob/index.htm,niob,"With a little something for everyone, the Niobrara National Scenic River is a destination for crossing adventures off your bucket list. Most popular for river recreation, you can float the Niobrara River on a canoe, tube, or kayak as a beginner and have a blast. Hiking, biking, and wildlife watching keep our visitors busy. Oh! And we haven't even told you about the waterfalls yet.",42.79413083,-99.91870646,National Scenic River,"214 W US Highway 20

Valentine, NE 69201"
